type	UniqueNumber	Word.order	Realization1
Read	310		Hann varð tikin niður av gentuni í gjár.
Read	311		Málningurin varð tikin niður av vegginum av gentuni.
Read	312		Hann varð tikin niður av gentuni í gjár.
Read	313		Plakatin varð hongd upp á hurðina av læraranum.
Read	314		Hon varð hongd upp av læraranum í gjár.
Read	315		Plakatin varð hongd upp á hurðina av læraranum.
Read	316		Hon varð hongd upp av læraranum í gjár.
Read	317		Næmingurin varð skeldaður út av rektaranum í gjár.
Read	318		Hon varð skeldað út av rektaranum í gjár.
Read	319		Føroyingar vórðu avsmurdir av Portugal í gjár.
Read	320		Teir vórðu avsmurdir av Portugal í gjár.
Read	321		Skúlin varð latin upp av borgarstjóranum í fjør.
Read	322		Hann varð latin upp av borgarstjóranum í fjør.
Read	323		Húsið varð bygt um aftan á nøkur ár av nýggju eigarunum.
Read	324		Tað varð bygt um aftan á nøkur ár av nýggju eigarunum.
Read	325		Starvsfólkið varð loyst av um summarið av lesandi.
Read	326		Tjóvarnir vórðu ikki handtiknir av løgregluni í gjár.
Read	327		Teir vórðu ikki handtiknir av løgregluni í gjár.
Read	328		Hann varð ikki avhoyrdur av unga politistinum. 
Read	329		Hjalmar varð ikki avhoyrdur av unga politistinum.
Read	330		Kvinnan varð ikki vald til leiðara av nýggja stjóranum.
Read	331		Hon varð ikki vald til leiðara av nýggja stjóranum.
Read	332		Hann varð ikki kritiseraður av starvsfeløgunum.
Read	333		Hann varð ikki raktur av kúluni.
Read	334		Ummælarin varð ikki hugtikin av tí nýggju fløguni.
Read	335		Hann varð ikki hugtikin av tí nýggju fløguni.
Read	336		Hurðin varð ikki læst av húsavørðinum í gjár.
Produce	301	PO	Duravørðirnir blakaðu út næmingin av barrini.
Produce	302	PO	Duravørðirnir blakaðu út hann í gjár.
Produce	303	PO	Duravørðirnir blakaðu út studentin av barrini.
Produce	304	PO	Duravørðirnir blakaðu út hann í gjár.
Produce	305	PO	Duravørðirnir leiddu inn vitnið í salin.
Produce	306	PO	Duravørðirnir leiddu inn hann í gjár.
Produce	307	PO	Duravørðirnir leiddu inn vitnið í salin.
Produce	308	PO	Duravørðirnir leiddu inn hann í gjár.
Produce	309	PO	Gentan tók niður málningin av vegginum.
Produce	310	PO	Gentan tók niður hann í gjár.
Produce	311	PO	Gentan tók niður málningin av vegginum.
Produce	312	PO	Gentan tók niður hann í gjár.
Produce	313	PO	Lærarin hongdi upp plakatina á hurðina.
Produce	314	PO	Lærarin hongdi upp hana í gjár.
Produce	315	PO	Lærarin hongdi upp plakatina á hurðina.
Produce	316	PO	Lærarin hongdi upp hana í gjár.
Produce	317	PO	Rektarin skeldaði út næmingin í gjár.
Produce	318	PO	Rektarin skeldaði út hana í gjár.
Produce	319	PO	Portugal smurdi av føroyingar í gjár.
Produce	320	PO	Portugal smurdi av teir í gjár.
Produce	321	PO	Borgarstjórin læt upp skúlan í fjør.
Produce	322	PO	Borgarstjórin læt upp hann í fjør.
Produce	323	PO	Nýggju eigararnir bygdu um húsið aftan á nøkur ár.
Produce	324	PO	Nýggju eigararnir bygdu um tað aftan á nøkur ár.
Produce	325	PO	Lesandi loystu av starvsfólkið um summarið.
Produce	326	NO	Løgreglan handtók ikki tjóvin í gjár.
Produce	327	NO	Løgreglan handtók ikki teir í gjár.
Produce	328	NO	Ungi politisturin avhoyrdi ikki hann. 
Produce	329	NO	Ungi politisturin avhoyrdi ikki Hjalmar.
Produce	330	NO	Nýggi stjórin valdi ikki kvinnuna til leiðara.
Produce	331	NO	Nýggi stjórin valdi ikki hana til leiðara.
Produce	332	NO	Starvsfelagarnir kritiseraðu ikki hann.
Produce	333	NO	Kúlan rakti ikki hann.
Produce	334	NO	Hendan nýggja fløgan hugtók ikki ummælaran.
Produce	335	NO	Hendan nýggja fløgan hugtók ikki hann.
Produce	336	NO	Húsavørðurin læsti ikki hurðina í gjár.
Produce	301	OP	Duravørðirnir blakaðu næmingin út av barrini.
Produce	302	OP	Duravørðirnir blakaðu hann út í gjár.
Produce	303	OP	Duravørðirnir blakaðu studentin út av barrini.
Produce	304	OP	Duravørðirnir blakaðu hann út í gjár.
Produce	305	OP	Duravørðirnir leiddu vitnið inn í salin.
Produce	306	OP	Duravørðirnir leiddu hann inn í gjár.
Produce	307	OP	Duravørðirnir leiddu vitnið inn í salin.
Produce	308	OP	Duravørðirnir leiddu hann inn í gjár.
Produce	309	OP	Gentan tók málningin niður av vegginum.
Produce	310	OP	Gentan tók hann niður í gjár.
Produce	311	OP	Gentan tók málningin niður av vegginum.
Produce	312	OP	Gentan tók hann niður í gjár.
Produce	313	OP	Lærarin hongdi plakatina upp á hurðina.
Produce	314	OP	Lærarin hongdi hana upp í gjár.
Produce	315	OP	Lærarin hongdi plakatina upp á hurðina.
Produce	316	OP	Lærarin hongdi hana upp í gjár.
Produce	317	OP	Rektarin skeldaði næmingin út í gjár.
Produce	318	OP	Rektarin skeldaði hana út í gjár.
Produce	319	OP	Portugal smurdi føroyingar av í gjár.
Produce	320	OP	Portugal smurdi teir av í gjár.
Produce	321	OP	Borgarstjórin læt skúlan upp í fjør.
Produce	322	OP	Borgarstjórin læt hann upp í fjør.
Produce	323	OP	Nýggju eigararnir bygdu húsið um aftan á nøkur ár.
