number	item	subitem	name	Main1	Emb1	cond11	cond12	adv1
210	b	11	Ása	Ég hljóla oft í vinnuna.	Ása er stolt af _ví a_...	Non-Bridge	NonReflexive	oft
212	b	12	Katrin	Ég kem aldrei of seint í skólann.	Katrin er stolt af a_...	Non-Bridge	NonReflexive	aldrei
302	b	13	Ása	Leggur Óli sig alltaf á svarta sófann?	Ása spur_i hvort...	VtoI	Reflexive	alltaf
304	b	14	Katrin	Reddar Páll sér alltaf í skólanum?	Katrin spur_i hvort...	VtoI	Reflexive	oft
306	b	15	Ása	Rakar Óli sig aldrei á morgnana?	Ása spur_i hvort...	VtoI	Reflexive	aldrei
308	b	16	Katrin	Hjólar Páll oft til vinnu?	Katrin spur_i hvort...	VtoI	NonReflexive	alltaf
310	b	17	Ása	Kemur Katrin oft of seint í skólann?	Ása spur_i hvort...	VtoI	NonReflexive	oft
312	b	18	Katrin	Fer Ása aldrei í bæinn á laugardagskvöldum?	Katrin spur_i hvort...	VtoI	NonReflexive	aldrei
401	a	19	Páll	Hver var á ballinu í gærkvöldi?	Páll vildi vita...	EmbSubQ	NonReflexive	none
403	a	20	Óli	Hversu margir nemendur komu á réttum tíma?	Óli vildi vita...	EmbSubQ	NonReflexive	none
405	a	21	Páll	Hver vann keppnina í gær?	Páll vildi vita...	EmbSubQ	NonReflexive	none
407	a	22	Óli	Hva_a hljómsveit spila_i á hátí_inni um helgina?	Óli spur_i...	EmbSubQ	NonReflexive	none
409	a	23	Páll	Hversu margir nemendur eru í skólanum?	Páll spur_i...	EmbSubQ	NonReflexive	none
411	a	24	Óli	Hver hef_i gert _etta?	Óli spur_i...	EmbSubQ	NonReflexive	none
501	a	25	Páll	Hva_ keypti Ása í bú_inni?	Páll spur_i...	EmbObQ	NonReflexive	none
503	a	26	Óli	Hvenær kom Ása heim í gær?	Óli spur_i...	EmbObQ	NonReflexive	none
505	a	27	Páll	Hversu marga fiska veiddi Einar?	Páll spur_i...	EmbObQ	NonReflexive	none
507	a	28	Óli	Hva_a myndir sá Páll í gær?	Óli spur_i...	EmbObQ	NonReflexive	none
509	a	29	Páll	Hva_a fuglategund er _etta?	Páll spur_i...	EmbObQ	NonReflexive	none
511	a	30	Óli	Hvert fer Ása í frí?	Óli spur_i...	EmbObQ	NonReflexive	none
601	a	31	Páll	Ég hef gleymt lyklunum heima.	Páll er viss um a_...	FillerDecl	NonReflexive	none
603	a	32	Óli	Páll hefur veri_ veikur í viku.	Óli er viss um a_...	FillerDecl	NonReflexive	none
605	a	33	Páll	Fer_alaginu á morgun er afl_st.	Páll er viss um a_...	FillerDecl	NonReflexive	none
607	a	34	Óli	__skaland er stærra en Frakkland.	Óli heldur a_...	FillerDecl	NonReflexive	none
609	a	35	Páll	Tungli_ er úr osti.	Páll heldur a_...	FillerDecl	NonReflexive	none
611	a	36	Óli	Miki_ af fer_afólki hefur heimsótt Vestmannaeyjar í sumar.	Óli heldur a_...	FillerDecl	NonReflexive	none
402	b	19	Ása	Hver var á ballinu í gærkvöldi?	Ása vildi vita...	EmbSubQ	NonReflexive	none
404	b	20	Katrin	Hversu margir nemendur komu á réttum tíma?	Katrin vildi vita...	EmbSubQ	NonReflexive	none
406	b	21	Ása	Hver vann keppnina í gær?	Ása vildi vita...	EmbSubQ	NonReflexive	none
408	b	22	Katrin	Hva_a hljómsveit spila_i á hátí_inni um helgina?	Katrin spur_i...	EmbSubQ	NonReflexive	none
410	b	23	Ása	Hversu margir nemendur eru í skólanum?	Ása spur_i...	EmbSubQ	NonReflexive	none
412	b	24	Katrin	Hver hef_i gert _etta?	Katrin spur_i...	EmbSubQ	NonReflexive	none
502	b	25	Ása	Hva_ keypti Katrin í bú_inni?	Ása spur_i...	EmbObQ	NonReflexive	none
504	b	26	Katrin	Hvenær kom Ása heim í gær?	Katrin spur_i...	EmbObQ	NonReflexive	none
506	b	27	Ása	Hversu marga fiska veiddi Einar?	Ása spur_i...	EmbObQ	NonReflexive	none
508	b	28	Katrin	Hva_a myndir sá Páll í gær?	Katrin spur_i...	EmbObQ	NonReflexive	none
510	b	29	Ása	Hva_a fuglategund er _etta?	Ása spur_i...	EmbObQ	NonReflexive	none
512	b	30	Katrin	Hvert fer Ása í frí?	Katrin spur_i...	EmbObQ	NonReflexive	none
602	b	31	Ása	Ég hef gleymt lyklunum heima.	Ása er viss um a_...	FillerDecl	NonReflexive	none
604	b	32	Katrin	Páll hefur veri_ veikur í viku.	Katrin er viss um a_...	FillerDecl	NonReflexive	none
606	b	33	Ása	Fer_alaginu á morgun er afl_st.	Ása er viss um a_...	FillerDecl	NonReflexive	none
608	b	34	Katrin	__skaland er stærra en Frakkland.	Katrin heldur a_...	FillerDecl	NonReflexive	none
610	b	35	Ása	Tungli_ er úr osti.	Ása heldur at...	FillerDecl	NonReflexive	none
612	b	36	Katrin	Miki_ af fer_afólki hefur heimsótt Vestmannaeyjar í sumar.	Katrin heldur a_...	FillerDecl	NonReflexive	none
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
