number	item	subitem	name	Main1	Emb1	cond11	cond12	adv1			
301	13	a	Kalle:	Sätter Peter ofta på TV:n efter middagen?	Kalle frågade om...	VtoI	Reflexive	alltid			
302	13	b	Lisa:	Sätter Maria ofta på TV:n efter middagen?	Lisa frågade om...	VtoI	Reflexive	alltid			
303	14	a	Peter:	Skruvar Kalle alltid upp volymen på stereon?	Peter frågade om...	VtoI	Reflexive	ofta			
304	14	b	Karin:	Skruvar Lena alltid upp volymen på stereon?	Karin frågade om...	VtoI	Reflexive	ofta			
305	15	a	Erik:	Städar Peter aldrig upp efter sig?	Erik frågade om...	VtoI	Reflexive	aldrig			
306	15	b	Lena:	Städar Karin aldrig upp efter sig?	Lena frågade om...	VtoI	Reflexive	aldrig			
307	16	a	Peter:	Tar Erik alltid bussen till jobbet?	Peter undrar om...	VtoI	NonReflexive	alltid			
308	16	b	Karin:	Tar Lena alltid bussen till jobbet?	Karin undrar om...	VtoI	NonReflexive	alltid			
309	17	a	Kalle:	Kommer Lisa ofta för sent till skolan?	Kalle undrar om...	VtoI	NonReflexive	ofta			
310	17	b	Lisa:	Kommer Kalle ofta för sent till skolan?	Lisa undrar om...	VtoI	NonReflexive	ofta			
311	18	a	Peter:	Går Lena aldrig ut på lördagskvällar?	Peter undrar om...	VtoI	NonReflexive	aldrig			
312	18	b	Karin:	Går Peter aldrig ut på lördagskvällar?	Karin undrar om...	VtoI	NonReflexive	aldrig			
401	19	b	Erik:	Vem kom på festen igår?	Erik ville veta...	EmbSubQ	NonReflexive	none			
402	19	b	Lena:	Vem kom på festen igår?	Lena ville veta...	EmbSubQ	NonReflexive	none			
403	20	b	Johan:	Vilka elever kom i tid till lektionen?	Johan ville veta...	EmbSubQ	NonReflexive	none			
404	20	b	Maria:	Vilka elever kom i tid till lektionen?	Maria ville veta...	EmbSubQ	NonReflexive	none			
405	21	b	Kalle:	Vem vann tävlingen igår?	Kalle ville veta...	EmbSubQ	NonReflexive	none			
406	21	b	Lisa:	Vem vann tävlingen igår?	Lisa ville veta...	EmbSubQ	NonReflexive	none			
407	22	b	Peter:	Vilka band spelade på festivalen?	Peter frågade...	EmbSubQ	NonReflexive	none			
408	22	b	Karin:	Vilka band spelade på festivalen?	Karin frågade...	EmbSubQ	NonReflexive	none			
409	23	b	Erik:	Hur många elever går på skolan?	Erik frågade...	EmbSubQ	NonReflexive	none			
410	23	b	Lena:	Hur många elever går på skolan?	Lena frågade...	EmbSubQ	NonReflexive	none			
411	24	b	Peter:	Vem köpte bilen?	Peter frågade...	EmbSubQ	NonReflexive	none			
412	24	b	Karin:	Vem köpte bilen?	Karin frågade...	EmbSubQ	NonReflexive	none			
501	25	b	Erik:	Vad köpte Lena i affären?	Erik ville veta...	EmbObQ	NonReflexive	none			
502	25	b	Lena:	Vad köpte Erik i affären?	Lena undrade...	EmbObQ	NonReflexive	none			
503	26	b	Peter:	När kom Lena hem igår?	Peter ville veta...	EmbObQ	NonReflexive	none			
504	26	b	Karin:	När kom Peter hem igår?	Karin frågade...	EmbObQ	NonReflexive	none			
505	27	b	Erik:	Hur många fiskar fick Johan igår? 	Erik undrade...	EmbObQ	NonReflexive	none			
506	27	b	Lena:	Hur många fiskar fick Johan igår? 	Lena undrade...	EmbObQ	NonReflexive	none			
507	28	b	Peter:	Vilken film såg eleverna igår?	Peter ville veta...	EmbObQ	NonReflexive	none			
508	28	b	Karin:	Vilken film såg eleverna igår?	Karin frågade...	EmbObQ	NonReflexive	none			
